"nursery_id","status","check","classification","type","name","name_kana","district","district_alphabet","address","address_note","tel","childcare_age","capacity","open_weekday","close_weekday","open_saturday","close_saturday","h11","h8","shuttle_bus","available_day","is_temporary_care","longitude","latitude"
"16","既存","","公立","保育所","桜南保育所","オウナンホイクショ","桜地区","sakura","つくば市並木4丁目7番地2","","029-855-6181","産休明け～５歳","135","7:30","19:00","7:45","13:00","7:30〜18:30","8:30〜16:30","","月～土","無","140.146129","36.061771"
"17","既存","","公立","保育所","北条保育所","ホウジョウホイクショ","筑波地区","tsukuba","つくば市北条79番地3","","029-867-0142","６か月～５歳","60","7:30","19:00","7:45","13:00","7:30〜18:30","8:30〜16:30","","月～土","無","140.09386479038901","36.179652012574898"
"19","既存","","公立","保育所","沼田保育所","ヌマタホイクショ","筑波地区","tsukuba","つくば市沼田39番地3","","029-866-0854","６か月～５歳","90","7:30","19:00","7:45","13:00","7:30〜18:30","8:30〜16:30","","月～土","無","140.07717500000001","36.207109000000003"
"20","既存","","公立","保育所","作岡保育所","サクオカホイクショ","筑波地区","tsukuba","つくば市作谷1737番地1","","029-869-0101","６か月～５歳","60","7:30","19:00","7:45","13:00","7:30〜18:30","8:30〜16:30","","月～土","有","140.034685","36.171132999999998"
"23","既存","定員変更","公立","保育所","岩崎保育所","イワサキホイクショ","茎崎地区","kukisaki","つくば市下岩崎2116番地","","029-876-0696","産休明け～５歳","90","7:30","19:00","7:45","13:00","7:30〜18:30","8:30〜16:30","","月～土","有","140.102991","35.979194"
"24","既存","定員変更","民間","認定こども園","認定こども園みのり","ニンテイコドモエンミノリ","茎崎地区","kukisaki","つくば市高崎643番地9","","029-873-2540","産休明け～５歳","138","7:00","19:30","7:00","18:00","8:00〜19:00","8:00〜16:00","有","月～土","無","140.11844840000001","35.994380999999997"
"25","既存","定員変更","民間","保育所","アイリス保育園","アイリスホイクエン","谷田部地区","yatabe","つくば市上横場354番地10","","029-839-3535","産休明け～５歳","120","7:00","19:00","7:00","18:00","7:00〜18:00","8:30〜16:30","無","月～土","有","140.086986","36.051895999999999"
"26","既存","","民間","保育所","かつらぎ第二保育園","カツラギダイニホイクエン","谷田部地区","yatabe","つくば市苅間643番地1","","029-875-9412","産休明け～５歳","110","7:15","19:15","7:15","18:15","7:15〜18:15","8:30〜16:30","無","月～土","無","140.09594999999999","36.078274"
"27","既存","定員変更","民間","保育所","青い丘保育園つくば","アオイオカホイクエンツクバ","谷田部地区","yatabe","つくば市小野崎594番地１","","029-849-5130","産休明け～５歳","60","7:30","19:00","7:30","18:30","7:30〜18:30","8:30〜16:30","無","月～土","有","140.11037540000001","36.072683499999997"
"28","既存","","民間","保育所","わかば保育園分園","ワカバホイクエンブンエン","谷田部地区","yatabe","つくば市みどりの1丁目28番地3","","029-836-8803","産休明け～２歳","30","7:00","19:30","7:00","18:00","7:00〜18:00","8:00〜16:00","無","月～土","無","140.05536470000001","36.029801200000001"
"29","既存","","民間","保育所","東平塚保育園","ヒガシヒラツカホイクエン","谷田部地区","yatabe","つくば市東平塚661番地1","","029-851-2766","産休明け～５歳","90","7:00","19:00","7:00","19:00","7:00〜18:00","8:30〜16:30","無","月～土","有","140.09422530000001","36.098499099999998"
"30","既存","定員変更","民間","保育所","吉沼保育園","ヨシヌマホイクエン","大穂地区","oho","つくば市吉沼1110番地1","","029-865-0050","産休明け～５歳","160","7:15","19:30","7:30","18:30","7:15〜18:15","8:30〜16:30","有","月～土","無","140.013577","36.144165999999998"
"31","既存","定員変更","民間","保育所","かつらぎ保育園","カツラギホイクエン","谷田部地区","yatabe","つくば市西大橋457番地2","","029-856-1016","産休明け～５歳","200","7:15","19:15","7:15","18:15","7:15〜18:15","8:30〜16:30","無","月～土","有","140.08733599999999","36.072775999999998"
"32","既存","","民間","保育所","わかば保育園","ワカバホイクエン","谷田部地区","yatabe","つくば市谷田部2061番地","","029-838-0808","産休明け～５歳","100","7:00","19:30","7:00","18:00","7:00〜18:00","8:00〜16:00","有","月～土","有","140.071247","36.032682999999999"
"33","既存","","民間","保育所","島名杉の子保育園","シマナスギノコホイクエン","谷田部地区","yatabe","つくば市下河原崎4番地208","","029-847-6185","産休明け～５歳","130","7:15","19:15","7:15","18:15","7:15〜18:15","8:30〜16:30","無","月～土","有","140.04211799999999","36.069389000000001"
"34","既存","","民間","保育所","ひまわり保育園","ヒマワリホイクエン","谷田部地区","yatabe","つくば市真瀬1279番地","","029-838-0432","産休明け～５歳","110","7:30","19:30","7:30","18:30","7:30〜18:30","8:30〜16:30","無","月～土","有","140.04516369999999","36.043318900000003"
"35","既存","","民間","保育所","まつぼっくり保育園","マツボックリホイクエン","桜地区","sakura","つくば市大角豆2012番地668","","029-851-7589","産休明け～５歳","120","7:15","19:15","7:15","18:15","7:15〜18:15","8:30〜16:30","無","月～土","有","140.14401599999999","36.050137999999997"
"36","既存","定員変更","民間","保育所","田中保育園","タナカホイクエン","筑波地区","tsukuba","つくば市水守554番地1","","029-867-0433","産休明け～５歳","130","7:30","19:15","7:30","18:30","7:30〜18:30","8:30〜16:30","無","月～土","無","140.06778800000001","36.170847000000002"
"37","既存","","民間","保育所","九重保育園","ココノエホイクエン","桜地区","sakura","つくば市上ノ室2113番地2","","029-850-6660","産休明け～５歳","70","7:30","19:00","7:30","16:30","7:30〜18:30","8:00〜16:00","無","月～土","無","140.129277","36.084629999999997"
"38","既存","","民間","保育所","ケアーズ保育園","ケアーズホイクエン","大穂地区","oho","つくば市要元中根178番地","","029-864-8800","産休明け～５歳","200","7:15","19:30","7:15","18:15","7:15〜18:15","8:30〜16:30","無","月～土","有","140.0888363","36.114604499999999"
"39","既存","","民間","保育所","フラワーチャイルド保育園","フラワーチャイルドホイクエン","大穂地区","oho","つくば市蓮沼２２０番地１","","029-864-6464","産休明け～５歳","90","7:15","19:15","7:15","18:30","7:15〜18:15","8:30〜16:30","無","月～土","有","140.087413","36.127775"
"40","既存","","民間","保育所","さくら学園保育園","サクラガクエンホイクエン","桜地区","sakura","つくば市上野1302番地","","029-863-0053","産休明け～５歳","380","7:15","19:30","7:30","18:30","7:15〜18:15","8:30〜16:30","無","月～土","有","140.108372","36.114688000000001"
"41","既存","定員変更","民間","保育所","かなめ保育園","カナメホイクエン","大穂地区","oho","つくば市要174番地","","029-877-7710","産休明け～５歳","120","7:15","19:30","7:15","18:15","7:15〜18:15","8:15〜16:15","無","月～土","無","140.081965","36.111832999999997"
"42","既存","定員変更","民間","保育所","島名保育園","シマナホイクエン","谷田部地区","yatabe","つくば市島名529番地3","","029-847-9434","産休明け～５歳","90","7:00","20:00","7:00","20:00","7:00〜18:00","8:30〜16:30","無","月～土","無","140.05000899999999","36.071814000000003"
"43","既存","","民間","保育所","つくば国際白梅保育園","ツクバコクサイシラウメホイクエン","谷田部地区","yatabe","つくば市面野井55番地1","","029-886-3300","産休明け～５歳","160","7:00","19:00","7:00","18:00","7:00〜18:00","8:00〜16:00","無","月～土","無","140.07275999999999","36.074983000000003"
"44","既存","","民間","保育所","青い丘保育園二の宮","アオイオカホイクエンニノミヤ","谷田部地区","yatabe","つくば市二の宮4丁目4番地37","","029-850-3310","産休明け～５歳","60","7:30","19:00","7:30","18:30","7:30〜18:30","8:30〜16:30","無","月～土","有","140.115646","36.061565000000002"
"45","既存","","民間","認定こども園","すみれ保育園","スミレホイクエン","谷田部地区","yatabe","つくば市小野崎311番地1","","029-858-1202","産休明け～５歳","90","7:00","19:30","8:00","17:00","7:00〜18:00","8:30〜16:30","無","月～土","有","140.10670690000001","36.074153799999998"
"46","既存","","民間","保育所","つくばこどもの森保育園","ツクバコドモノモリホイクエン","豊里地区","toyosato","つくば市沼崎3097番地１","","029-847-1155","産休明け～５歳","120","7:15","19:15","7:15","18:30","7:15〜18:15","8:30〜16:30","無","月～土","有","140.06630089999999","36.109815500000003"
"47","既存","","民間","保育所","みどりの保育園","ミドリノホイクエン","谷田部地区","yatabe","つくば市花島新田４番地26","","029-879-9144","産休明け～５歳","90","7:15","19:30","7:30","18:30","7:15〜18:15","8:30〜16:30","無","月～土","有","140.05178000000001","36.029406000000002"
"48","既存","","民間","保育所","学園みらい保育園","ガクエンミライホイクエン","谷田部地区","yatabe","つくば市島307番地","","029-893-2807","産休明け～５歳","140","7:00","19:30","7:00","18:00","7:00〜18:00","8:30〜16:30","無","月～土","有","140.0862726","36.067194200000003"
"49","既存","","民間","保育所","つくばスワン保育園","ツクバスワンホイクエン","茎崎地区","kukisaki","つくば市西大井1733番地34","","029-870-3371","産休明け～５歳","90","7:00","19:30","7:00","18:30","7:00〜18:00","9:00〜17:00","無","月～土","有","140.1305294","36.019005200000002"
"50","既存","","民間","保育所","つくばトッポンチーノ保育園","ツクバトッポンチーノホイクエン","桜地区","sakura","つくば市金田185番地１","","029-893-4839","産休明け～５歳","60","7:15","19:15","7:15","19:15","7:15〜18:15","8:30〜16:30","無","月～土","有","140.14400760000001","36.101165600000002"
"51","既存","","民間","保育所","にじいろ保育園","ニジイロホイクエン","桜地区","sakura","つくば市大角豆961番地１","","029-893-4602","産休明け～５歳","80","7:00","20:00","7:30","18:30","7:00〜18:00","8:30〜16:30","無","月～土","無","140.14952959999999","36.068416300000003"
"52","既存","","民間","認定こども園","豊里もみじこども園","トヨサトモミジコドモエン","豊里地区","toyosato","つくば市土田13番地34","","029-847-2830","産休明け～５歳","90","7:30","19:00","7:30","18:30","7:30〜18:30","8:30〜16:30","有","月～土","無","140.06515970000001","36.094886700000004"
"53","既存","定員変更","民間","認定こども園","つくば中央保育園","ツクバチュウオウホイクエン","谷田部地区","yatabe","つくば市赤塚480番地7","","029-846-1003","産休明け～５歳","103","7:30","19:00","7:30","18:30","7:30〜18:30","9:00〜17:00","無","月～土","有","140.12051940000001","36.045429599999999"
"54","既存","","民間","認定こども園","成蹊幼稚園","セイケイヨウチエン","茎崎地区","kukisaki","つくば市天宝喜663番地","","029-873-8251","３・４・５歳児","40","7:30","18:30","なし","なし","7:30〜18:30","8:30〜16:30","有","月～金","無","140.1305893","35.984371299999999"
"55","既存","","民間","認定こども園","認定こども園栄幼稚園","ニンテイコドモエンサカエヨウチエン","桜地区","sakura","つくば市松塚667番地","","029-857-2231","３・４・５歳児","60","7:30","19:00","7:30","19:00","8:00〜19:00","8:00〜17:00","有","月～土","無","140.1475499","36.1057834"
"56","既存","","民間","保育所","つくば駅前保育園","ツクバエキマエホイクエン","桜地区","sakura","つくば市吾妻1丁目8番地10","BiViつくば5F","029-893-5537","産休明け～５歳","60","7:00","19:30","7:30","18:30","7:30〜18:30","8:30〜16:30","無","月～土","無","140.11270339999999","36.081595200000002"
"57","既存","","民間","保育所","つくばどろんこ保育園","ツクバドロンコホイクエン","谷田部地区","yatabe","つくば市下平塚845番地1","","029-896-7017","産休明け～５歳","90","7:00","20:00","7:00","20:00","7:00〜18:00","8:30〜16:30","無","月～土","有","140.0908791","36.091195200000001"
"58","既存","","民間","保育所","わだつみつなぐ保育園本園","ワダツミツナグホイクエンホンエン","豊里地区","toyosato","つくば市遠東788番地1","","029-886-4158","産休明け～５歳","108","7:00","20:00","7:00","18:00","7:00〜18:00","8:00〜16:00","無","月～土","無","140.07432449999999","36.102793200000001"
"59","既存","","民間","保育所","わかばキラメキ保育園","ワカバキラメキホイクエン","谷田部地区","yatabe","つくば市花島新田15番地15","","029-828-6760","産休明け～５歳","90","7:00","19:30","7:00","18:00","7:00〜18:00","8:00〜16:00","無","月～土","無","140.05937510000001","36.023934199999999"
"60","既存","","民間","保育所","万博公園どろんこ保育園","バンパクコウエンドロンコホイクエン","谷田部地区","yatabe","つくば市島名2578番地","","029-846-3216","産休明け～５歳","90","7:00","20:00","7:00","20:00","7:00〜18:00","8:30〜16:30","無","月～土","有","140.0557666","36.060310600000001"
"61","既存","","民間","保育所","ははそノ森保育園","ハハソノモリホイクエン","桜地区","sakura","つくば市倉掛833番地3","","029-828-8817","産休明け～５歳","108","7:30","19:30","7:30","18:30","7:30〜18:30","8:30〜16:30","無","月～土","有","140.1257985","36.076320699999997"
"62","既存","","民間","小規模保育事業所","ラ・フェリーチェ保育園","ラ・フェリーチェホイクエン","谷田部地区","yatabe","つくば市研究学園5丁目6番地3","","029-875-7831","４か月～２歳","19","7:00","19:00","8:00","16:00","7:00〜18:00","9:00〜17:00","無","月～土","有","140.08077259999999","36.083838499999999"
"63","既存","","民間","小規模保育事業所","なかよし保育園","ナカヨシホイクエン","谷田部地区","yatabe","つくば市島名2888番地1","(万博公園西F30街区)ユートピアフォーリーフA棟1F","029-896-8870","産休明け～２歳","19","7:30","19:00","7:30","18:30","7:30〜18:30","8:30〜16:30","無","月～土","無","140.04592890000001","36.060415499999998"
"64","既存","","民間","小規模保育事業所","どんぐり","ドングリ","桜地区","sakura","つくば市松塚657番地","","029-857-5571","産休明け～２歳","18","7:30","19:00","7:30","19:00","8:00〜19:00","8:00〜17:00","有","月～土","無","140.14731660000001","36.106274999999997"
"65","既存","","民間","保育所","つくばきらり保育園","ツクバキラリホイクエン","谷田部地区","yatabe","つくば市面野井32番地１","","029-846-7066","産休明け～５歳","90","7:00","20:00","7:00","20:00","7:30〜18:30","8:30〜16:30","無","月～土","有","140.06895119999999","36.074857700000003"
"66","既存","","民間","保育所","学園の森どろんこ保育園","ガクエンノモリドロンコホイクエン","豊里地区","toyosato","つくば市遠東1007番地","","029-869-8311","産休明け～５歳","90","7:00","20:00","7:00","20:00","7:00〜18:00","8:30〜16:30","無","月～土","有","140.07103269999999","36.093113500000001"
"67","既存","","民間","認定こども園","学園の森こども園","ガクエンノモリコドモエン","谷田部地区","yatabe","つくば市学園の森２丁目14番地６","","029-896-8270","産休明け～５歳","90","7:15","19:30","7:30","18:30","7:30〜18:30","8:30〜16:30","無","月～土","無","140.076617","36.095042499999998"
"68","既存","定員変更","民間","認定こども園","みどり流星こども園","ミドリリュウセイコドモエン","桜地区","sakura","つくば市柴崎818番地１","","029-897-3722","６か月～５歳","87","7:00","19:00","7:00","18:00","8:00〜19:00","8:00〜16:00","有","月～土","無","140.12038799999999","36.105525200000002"
"69","既存","","民間","小規模保育事業所","しいの木保育園","シイノキホイクエン","谷田部地区","yatabe","つくば市学園南3丁目24番地7","","029-886-3617","産休明け～２歳","18","7:15","19:15","7:15","18:15","7:15〜18:15","8:30〜16:30","無","月～土","無","140.0883383","36.073666500000002"
"70","既存","","民間","小規模保育事業所","YMCAつくばオリーブ保育園","ワイエムシーエーツクバオリーブホイクエン","谷田部地区","yatabe","つくば市東新井24番地7","","029-852-4128","８か月～２歳","19","7:30","19:00","7:30","19:00","8:00〜19:00","8:00〜16:00","無","月～土","無","140.11503429999999","36.076733500000003"
"71","既存","","民間","保育所","ははそノ森オリオリ保育園","ハハソノモリオリオリホイクエン","谷田部地区","yatabe","つくば市みどりの中央18番地6","","029-875-5007","産休明け～５歳","120","7:30","19:30","7:30","18:30","7:30〜18:30","8:30〜16:30","無","月～土","有","140.05763400000001","36.024092000000003"
"72","既存","","民間","保育所","わだつみつなぐ保育園分園","ワダツミツナグホイクエンブンエン","谷田部地区","yatabe","つくば市研究学園5丁目5番地5","ルネサンスつくば1F","029-869-8645","１・２歳","12","7:00","20:00","7:00","18:00","7:00〜18:00","8:00〜16:00","無","月～土","無","140.08095800000001","36.083517999999998"
"73","既存","","民間","小規模保育事業所","流星の丘保育園","ホシノオカホイクエン","桜地区","sakura","つくば市流星台12番地10","","029-829-7751","産休明け～２歳","19","7:00","19:00","8:00","16:00","7:00〜18:00","8:00〜16:00","無","月～土","無","140.12250800000001","36.100380999999999"
"74","既存","8h","民間","小規模保育事業所","すてっぷ保育園つくば研究学園","ステップホイクエンツクバケンキュウガクエン","谷田部地区","yatabe","つくば市研究学園２丁目21番地１","","029-886-3003","産休明け～２歳","19","7:30","19:00","7:30","18:30","7:30〜18:30","8:00〜16:00または8:30〜16:30","無","月～土","無","140.07063339999999","36.083094699999997"
"75","既存","","民間","保育所","ニチイキッズみどりの中央保育園","ニチイキッズミドリノチュウオウホイクエン","谷田部地区","yatabe","つくば市みどりの中央11番地8","","029-839-2775","産休明け～５歳","60","7:00","20:00","7:00","20:00","7:00〜18:00","8:30〜16:30","無","月～土","無","140.05761100000001","36.027458000000003"
"76","既存","定員変更","民間","小規模保育事業所","はこぶね保育園","ハコブネホイクエン","桜地区","sakura","つくば市倉掛1768番地５","","029-893-6531","１歳～２歳","12","7:30","19:00","なし","なし","7:30〜18:30","8:30〜16:30","無","月～金","有","140.13485489999999","36.074302899999999"
"77","既存","","民間","保育所","ぐっどふれんど保育園","グッドフレンドホイクエン","谷田部地区","yatabe","つくば市島名2805番地３","","029-886-3175","産休明け～５歳","110","7:30","19:00","7:30","18:30","7:30〜18:30","8:30〜16:30","有","月～土","有","140.04880689999999","36.063478099999998"
"78","既存","","民間","保育所","みらいのもり保育園","ミライノモリホイクエン","谷田部地区","yatabe","つくば市鬼ケ窪1048番地103","","029-886-8821","産休明け～５歳","90","7:00","19:00","7:00","19:00","7:00〜18:00","8:00〜16:00","無","月～土","有","140.0523632","36.077412500000001"
"79","既存","","民間","保育所","つくばスマイル保育園","ツクバスマイルホイクエン","谷田部地区","yatabe","つくば市みどりの２丁目17番地１","","029-828-7788","産休明け～５歳","90","7:00","20:00","7:00","18:00","7:00〜18:00","8:30〜16:30","無","月～土","有","140.05165500000001","36.036654800000001"
"80","既存","","民間","保育所","南十字保育園","ミナミジュウジホイクエン","谷田部地区","yatabe","つくば市谷田部2318番地１","","029-886-7373","産休明け～５歳","90","7:15","19:15","7:15","18:15","7:15〜18:15","8:30〜16:30","無","月～土","無","140.06470300000001","36.041063899999997"
"81","既存","","民間","小規模保育事業所","小規模保育園 ソシエルみどりの","ショウキボホイクエン ソシエルミドリノ","谷田部地区","yatabe","つくば市みどりの２丁目５番地70","","029-879-9227","産休明け～２歳","19","7:30","19:00","7:30","18:30","7:30〜18:30","8:30〜16:30","無","月～土","有","140.0505814","36.038241200000002"
"82","既存","8h","民間","小規模保育事業所","すてっぷ保育園万博記念公園","ステップホイクエンバンパクキネンコウエン","谷田部地区","yatabe","つくば市島名2171番地","（諏訪C17街区1）","029-875-3700","産休明け～２歳","19","7:30","19:00","7:30","18:30","7:30〜18:30","8:00〜16:00または8:30〜16:30","無","月～土","無","140.06048669645199","36.059436571534903"
"83","既存","8h","民間","小規模保育事業所","すてっぷ保育園諏訪","ステップホイクエンスワ","谷田部地区","yatabe","つくば市島名2302番地","（諏訪C12街区20）","029-846-3888","産休明け～２歳","19","7:30","19:00","7:30","18:30","7:30〜18:30","8:00〜16:00または8:30〜16:30","無","月～土","無","140.05917318110599","36.057573662515303"
"84","既存","","民間","小規模保育事業所","ルンルン保育園春日","ルンルンホイクエンカスガ","谷田部地区","yatabe","つくば市春日4丁目26番地3","","029-846-3415","産休明け～２歳","19","7:00","19:00","7:00","19:00","7:00〜18:00","8:00〜16:00","無","月～土","無","140.0993756","36.103430600000003"
"85","既存","","民間","保育所","木の間インターナショナル保育園","コノマインターナショナルホイクエン","桜地区","sakura","つくば市倉掛877番地1","","029-883-0056","産休明け～５歳","156","7:30","19:30","7:30","18:30","7:30〜18:30","8:30〜16:30","無","月～土","有","140.1273994","36.074473400000002"
"86","既存","","民間","保育所","しおどめ保育園つくば","シオドメホイクエンツクバ","谷田部地区","yatabe","つくば市下平塚412番地1","","029-859-5555","１歳～５歳","90","7:30","19:30","7:30","18:30","7:30〜18:30","8:30〜16:30","無","月～土","有","140.08949989999999","36.088941800000001"
"87","既存","","民間","保育所","流星台エンジェル保育園","リュウセイダイエンジェルホイクエン","桜地区","sakura","つくば市流星台6番地7","","029-875-9511","産休明け～５歳","90","7:00","20:00","7:30","18:30","7:30〜18:30","9:00〜17:00","無","月～土","有","140.12060149999999","36.098946099999999"
"88","既存","","民間","保育所","ニチイキッズ東光台保育園","ニチイキッズトウコウダイホイクエン","豊里地区","toyosato","つくば市東光台3丁目16番地4","","029-847-7105","産休明け～５歳","90","7:30","19:30","7:30","18:30","7:30〜18:30","8:30〜16:30","無","月～土","無","140.0686445","36.093514599999999"
"89","既存","","民間","保育所","つくばさくら保育園","ツクバサクラホイクエン","谷田部地区","yatabe","つくば市谷田部2417番地1","","029-846-2356","産休明け～５歳","90","7:00","19:30","7:00","18:00","7:00〜18:00","8:30〜16:30","無","月～土","有","140.05712080000001","36.045698000000002"
"90","既存","","民間","認定こども園","かやまるこども園","カヤマルコドモエン","谷田部地区","yatabe","つくば市上萱丸154番地1","","029-875-5311","６か月～５歳","72","7:00","19:00","7:00","19:00","7:00〜18:30","8:00〜16:00","無","月～土","有","140.0604304","36.033436500000001"
"91","既存","","民間","小規模保育事業所","キッズハウスゆめの森","キッズハウスユメノモリ","谷田部地区","yatabe","つくば市手代木2005番地4","","029-846-4765","産休明け～２歳","12","7:00","20:00","7:00","18:00","7:00〜18:00","8:30〜16:30","無","月～土","有","140.09635589999999","36.068112599999999"
"92","既存","","民間","小規模保育事業所","花畑保育園","ハナバタケホイクエン","大穂地区","oho","つくば市花畑1丁目9番地2","","029-896-8001","産休明け～２歳","12","7:15","19:15","7:30","18:30","7:15〜18:15","8:30〜16:30","無","月～土","有","140.08745200000001","36.127803"
"93","既存","","民間","小規模保育事業所","クローバー保育園","クローバーホイクエン","桜地区","sakura","つくば市竹園1丁目2番地1","レーベンつくばCORIS101","029-828-6830","産休明け～２歳","19","7:00","19:30","7:00","19:30","7:00〜18:00","8:00〜16:00","無","月～土","無","140.11559349999999","36.080933199999997"
"94","既存","","民間","小規模保育事業所","小規模保育園 AGRI KIDS PARK","ショウキボホイクエン アグリキッズパーク","谷田部地区","yatabe","つくば市観音台1丁目16番地17","","029-846-0606","産休明け～２歳","19","7:00","19:00","7:00","19:00","7:30〜18:30","8:30〜16:30","無","月～土","有","140.09193859999999","36.0304681"
"95","既存","","民間","保育所","みんなのみらい保育園みどりの","ミンナノミライホイクエンミドリノ","谷田部地区","yatabe","つくば市下萱丸370番地1","","029-879-7080","産休明け～５歳","90","7:00","20:00","7:00","20:00","7:30〜18:30","9:00〜17:00","無","月～土","無","140.05920069999999","36.029431099999996"
"96","既存","","民間","小規模保育事業所","にじの森のつなぐ保育園","ニジノモリノツナグホイクエン","谷田部地区","yatabe","つくば市西岡232番地1","","029-846-1415","産休明け～２歳","19","7:00","20:00","7:00","18:00","7:00〜18:00","8:00〜16:00","無","月～土","無","140.0881559","36.071106700000001"
"97","既存","","民間","小規模保育事業所","みどりのはっぴー保育園","ミドリノハッピーホイクエン","谷田部地区","yatabe","つくば市みどりの中央63番地3","","029-836-3881","産休明け～２歳","19","7:30","19:00","7:30","19:00","7:30〜18:30","8:00〜16:00","無","月～土","無","140.06324849999999","36.024729499999999"
"98","既存","定員変更","民間","小規模保育事業所","プチリックつくば千現園","プチリックツクバセンゲンエン","桜地区","sakura","つくば市千現1丁目23番地7","青葉ビル1F","050-1743-8222","産休明け～２歳","19","7:00","19:00","7:00","18:00","7:00〜18:00","9:00〜17:00","無","月～土","無","140.11871629999999","36.071053999999997"
"99","既存","","民間","小規模保育事業所","インターナショナルキッズ はるのひ保育園","インターナショナルキッズハルノヒホイクエン","谷田部地区","yatabe","つくば市春日2丁目36番地3","","029-875-8739","産休明け～２歳","19","7:30","19:30","7:30","18:30","7:30〜18:30","8:30〜16:30","無","月～土","有","140.0997758","36.089143"
"100","既存","","民間","小規模保育事業所","KUKURUインターナショナルプレスクールつくば駅前園","ククルインターナショナルプレスクールツクバエキマエエン","桜地区","sakura","つくば市吾妻1丁目5番地3","トナリエつくばスクエアMOG2階","029-886-6303","産休明け～２歳","19","7:00","20:00","7:00","20:00","7:00〜18:00","8:00〜16:00","無","月～土","無","140.11128099999999","36.081333899999997"
"900","既存","","民間","小規模保育事業所","キッズルームさくらみなみ","キッズルームサクラミナミ","桜地区","sakura","つくば市大角豆377番地","","029-869-5101","産休明け～２歳","12","7:30","19:00","7:30","18:00","7:30〜18:30","8:30〜16:30","無","月～土","無","140.15450250000001","36.0662813"
"901","既存","","民間","保育所","ケアーズ保育園花畑分園","ケアーズホイクエンハナバタケブンエン","大穂地区","oho","つくば市花畑2丁目10-7","","029-896-6222","産休明け～２歳","30","7:15","19:30","7:15","18:15","7:15〜18:15","8:30〜16:30","無","月～土","有","140.08534710000001","36.133271100000002"
"902","既存","","民間","保育所","香取台どろんこ保育園","カトリダイドロンコホイクエン","谷田部地区","yatabe","つくば市島名1813番地1","","029-846-0853","産休明け～５歳","90","7:00","20:00","7:00","20:00","7:00〜18:00","8:30〜16:30","無","月～土","無","140.05440129999999","36.060797399999998"
"903","既存","","民間","保育所","花の架け橋つなぐ保育園","ハナノカケハシツナグホイクエン","桜地区","sakura","つくば市花室1705番地","","029-898-9820","産休明け～５歳","110","7:00","20:00","7:00","18:00","7:00〜18:00","8:00〜16:00","無","月～土","無","140.12633640000001","36.089185499999999"
